Reference Type,Author,Year,Title,Title of Journal,Volume,Issue,Page Range,Epub Date,Date,ISSN,DOI,WorldCat URL,Publisher URL,Leuven URL,When,What,Where,Who,Abstract,Notes,Notes to Editors,Translated Author,Translated Title,Language,Editing Tags
Journal Article,"Miranda, Margarida",2003,O Colégio das Artes de Coimbra: Berço de uma poética dramática (1559–1562),Brotéria: Cristianismo e cultura,157,43134,135–153,,August–September,0870-7618,,,,,16th century,Education -- Colleges -- History -- Local|Education -- Colleges -- Theater -- Drama,Europe -- Portugal -- Coimbra,,"Apresentação e síntese dos resultados de uma investigação sobre Miguel Venegas e a tragédia humanística jesuítica, que conclui pelo papel pioneiro do Colégio das Artes de Coimbra na fundação de uma poética dramática própria que a pedagogia jesuítica veio a promover em todos os seus colégios. Contextualização da Tragédia de Acab e análise retorico-literária da peça usando como chave as categorias da Retórica clássica.",,,,,Portuguese,REVIEW
Journal Article,"Mingo Lorente, Adolfo de|García Briceño, Jorge",2003,Exaltación de la iconografía local en la segunda mitad del siglo XVIII. La ciudad de Toledo,Anales de historia del arte,13,,211–234,,,0214-6452,,,https://revistas.ucm.es/index.php/ANHA/article/view/ANHA0303110211A,,17th century|18th century,Arts -- Iconography|Arts -- Art History|History -- Regional,Europe -- Spain -- Madrid|Europe -- Spain -- Toledo,"Quintanadueñas, Juan de, 1556–1634","El panorama artístico durante la Ilustración española plantea al investigador soluciones complejas y aparentemente contradictorias. Este artículo pretende ofrecer, a través de diversos ejemplos relacionados con el ámbito toledano, la vinculación entre neoclasicismo y conciencia histórica. En otras palabras, la recuperación intencional de un pasado en donde la exaltación de la monarquía y el sentimiento religioso avanzan de manera paralela y a través de las fórmulas de representación más características del siglo XVIII.",,,,,Spanish,REVIEW
Journal Article,"Miller, Shawn W.",2003,Stilt-Root Subsistence: Colonial Mangroves and Brazil's Landless Poor,Hispanic American Historical Review,83,2,223–254,,May,0018-2168,10.1215/00182168-83-2-223,,http://hahr.dukejournals.org/content/83/2/223.full.pdf,,17th century|18th century|19th century,Foreign Missions -- History -- Regional -- Social History|Foreign Missions -- Colonialism,South America -- Brazil,,,,,,,English,REVIEW
Journal Article,"Martins Lopes, José Manuel",2003,Pedagogia Inaciana – I,Brotéria: Cristianismo e cultura,157,4,223–236,,October,0870-7618,,,http://www.broteria.pt/images/books/pdf/Outubro_2003.pdf,,16th century,Ignatius of Loyola -- Pedagogy|Education -- Identity|Institute,,"Ignatius, of Loyola, Saint, c.1491–1556|Francis Xavier, Saint, 1506–1552","Apresentação, através da análise e sistematização do fio condutor Exercícios – Constituições – Ratio studiorum, das linhas básicas da pedagogia da Companhia de Jesus. Pedagogia que parte da pessoa e experiência de Inácio de Loyola; se caracteriza pela adaptabilidade; faz a síntese do humano e do divino; centrada no religioso-espiritual, mas radicada na experiência e na história; fortemente regulamentada, mas procurando a integração dos níveis religioso, pessoal e escolar do aluno.",,,,,Portuguese,REVIEW
Journal Article,"Martins Lopes, José Manuel",2003,Pedagogia Inaciana – II,Brotéria: Cristianismo e cultura,157,5,353–364,,November,0870-7618,,,http://www.broteria.pt/images/books/pdf/Novembro_2003.pdf,,16th century,Ignatius of Loyola -- Pedagogy|Education -- Identity|Institute,,"Ignatius, of Loyola, Saint, c.1491–1556|Francis Xavier, Saint, 1506–1552","Conclusão do elenco de características básicas da pedagogia da Companhia de Jesus, continuando a sinopse de Exercícios, Constituições e Ratio. Sublinhando, agora, o centramento no aluno, a liberdade como meta e justificação de toda a ascese, a orientação para a acção concreta no mundo, a configuração dum humanismo modelado na pessoa de Cristo, a primazia dada à exercitação activa e a exigência posta no educador enquanto modelo.",,,,,Portuguese,REVIEW
Journal Article,"Martínez-Gayol, Nuria",2003,El agradecimiento en la raíz de la glorificación: Una lectura desde Ignacio de Loyola,Manresa,,75,21–50,,,0214-2457,,,,,16th century,Ignatius of Loyola -- Spirituality|Theology -- Spirituality,,"Ignatius, of Loyola, Saint, c.1491–1556",,,,,,Spanish,REVIEW
Journal Article,"Martínez Sistach, Lluis",2003,"Una obra arriesgada, compleja y novedosa",Estudios eclesiásticos,78,307,765–767,,October–December,0210-1610,,,,,20th century,Political Thought|Theology -- Ecclesiology,Europe,"Corral Salvador, Carlos Manuel, 1929–","Remarks on Corral Salvador, Carlos Manuel Relación entre la Iglesia y la Comunidad Politica",,,,,Spanish,REVIEW
Journal Article,"Martínez Naranjo, Francisco Javier",2003,Las congregaciones marianas de la Compañía de Jesús y su contribución a la práctica de la caridad (ss. XVI–XVIII),Revista de historia moderna: Anales de la Universidad de Alicante,,21,211–238,,,0212-5862,,,http://rua.ua.es/dspace/handle/10045/1382,,16th century|17th century|18th century,Spirituality -- Devotion -- Marian|Spirituality -- Congregations -- Marian Congregations,,,"Las Congregaciones Marianas fundadas en los Colegios de la Compañía constituyeron, a lo largo de la Edad Moderna, un interesante instrumento utilizado por la Orden ignaciana para conseguir los objetivos que se había marcado desde su creación: recuperar para la Iglesia Católica los territorios caídos en el protestantismo, evangelizar las nuevas tierras, y propiciar la reforma de la sociedad cristiana de acuerdo con la espiritualidad de la Contrarreforma. En el presente trabajo ofrecemos un estudio de los principales elementos que caracterizaron a estas comunidades, dedicando una especial atención a la función asistencial y caritativa que desarrollaron sus miembros.||During Modern Times the Congregations of Our Lady established in the Jesuit centers were an interesting instrument used by the Ignatian order to achieve the desired goals since its foundation: achieve to obtain the return to the Catholic Church the countries in hands of Protestantism, to evangelize the new territories, and to propitiate the reform of the Christian society according to the spirituality of the Counterreformation. Here we present a study of the main elements, characteristic, of these communities, giving special attention to the assistance and charitable function carried out by their members.",,,,,Spanish,REVIEW
Journal Article,"Martínez Millán, José",2003,Elites de poder en las Cortes de las Monarquías española y portuguesa en el siglo XVI: Los servidores de Juana de Austria,Miscelánea Comillas,,61,169–202,,,0210-9522,,,,,16th century,History -- Regional|Politics -- Monarchy|Politics -- Court Life,Europe -- Spain|Europe -- Portugal,,,,,,,Spanish,REVIEW
Journal Article,"Martin, P.|Finnis, J.",2003,"Tyrwhitt of Kettleby: Part II; Robert Tyrwhitt, a Main Benefactor of Fr John Gerard SJ",Recusant History,26,4,556–569,,,0034-1932,,,,,17th century,Biography|Controversies -- England|Foreign Missions -- History -- Regional,Europe -- UK -- England,,"Continued from a previous article (see entry 54:14658). Robert Tyrwhitt continued in his family's recusant ways during the early 17th century. Tyrwhitt, who supported the Jesuits and specifically Father John Gerard, was persecuted continually by the English government for his support of the Catholic Church.",,,,,English,KEEP
Journal Article,"Marín Barriguete, Fermín",2003,Los jesuitas y el culto mariano: La Congregación de la Natividad de la Casa Profesa de Madrid,Tiempos Modernos,4,,1–20,,,1139-6237,,,http://www.tiemposmodernos.org/tm3/index.php/tm/article/view/38/55,,16th century|17th century,Spirituality -- Devotion -- Marian|Spirituality -- Congregations -- Marian Congregations|History -- Local,Europe -- Spain -- Madrid,,,,,,,Spanish,REVIEW
Journal Article,"Lucena Giraldo, Manuel",2003,Las vidas de Miguel Batllori (1909–2003),Hispania. Revista Española de Historia,63,214,749–751,,,0018-2141,10.3989/hispania.2003.v63.i214,,http://hispania.revistas.csic.es/index.php/hispania/article/view/230/233,,20th century,Biography|Historiography,Europe -- Spain|Europe -- Italy,"Batllori, Miquel, 1909–2003",,,,,,Spanish,REVIEW
Journal Article,"Lisiak, Bogdan",2003,Koncepcja filozofii w korespondencji Adama Kochańskiego SJ z Gottfriedem Leibnizem,Forum philosophicum: International Journal for Philosophy,8,,237–248,,November,1426-1898,10.5840/forphil2003823,,https://www.pdcnet.org/forphil/content/forphil_2003_0008_0237_0247,,17th century,Philosophy|Biography|Historiography -- Primary Sources -- Correspondence,Europe,"Kochanski, Adam A., 1631–1700",,,,,The notion of philosophy in the correspondence between Adam Kochański SJ and Gottfried Leibniz,Polish,REVIEW
Journal Article,"Leitão, Henrique",2003,A Periphery between Two Centers? Portugal in the Scientific Route from Europe to China (16th and 17th centuries),Boston Studies in the Philosophy and History of Science,,233,19–46,,,0068-0346,10.1007/978-94-017-3584-1,,http://www.springer.com/gp/book/9781402012594#,,16th century|17th century,Foreign Missions -- Sciences|Sciences -- History of Science|History -- Regional,Europe -- Portugal -- Lisbon|Asia -- China,,,,,,,English,REVIEW
Journal Article,"Kureethadam, Joshtrom Isaac",2003,The Glow at the Heart of Matter: A Possible Contribution of Teilhard de Chardin for Ecological Review,Divyadaan: Journal of Philosophy & Education,14,1,61–100,,,0972-2211,,,,,20th century,Philosophy -- Education|Philosophy -- Nature|Political Thought -- Ecology,,"Teilhard de Chardin, Pierre, 1881–1955",,,,,,English,REVIEW
Journal Article,"Kubišta, Albert",2003,Jesuitische Polemiken gegen die Brüderunität: Kontroverstheologie in den böhmischen Ländern um 1660,Acta Comeniana,,17,117–135,,,0231-5955,,,,,16th century|17th century,Theology -- Controversies|Polemics |History -- Regional -- Intellectual,Europe -- Czech Republic,,"The spread of religious polemics in the 16th and 17th centuries is linked to improvements in printing, which made it possible to produce not only polemics but also responses to them in a relatively short time. To a certain extent, the polemical debate assumed the character of a dialogue. An example of such an exchange in the Czech Lands is provided by that between the Jesuits and the Unitas Fratrum in the last quarter of the 16th and early 17th centuries. While polemical tracts against the Brethren had appeared in Bohemia and Moravia previously, they attaned a new quality with the coming of the Jesuits. The latter brought with them to Bohemia a new mode of polemicisation based on the model of polemic theology, originally created for polemics against the Lutherans in the Empire. The first group of Bohemian Jesuits and their sympathiser (Václav Šturm, Václav Brosius, Baltasar Hostounský etc.) adapted this model to the situation in the Czech Lands. Given that the Unitas Fratrum was still an illegal church, polemic tracts against them represented no great risk for the Jesuits, while still affecting that part of society which was most resistant to the increasing re-Catholicasition. While Šturm in his texts attempts to address the broader public, the responses of the Brethren are somewhat defensive, and fortify their members and sympathisers in their faith. In this article the author considers not only the theoretical background to the polemics , but provides brief citations to characterise their style of argument.",,,,,German,REVIEW
Journal Article,"Kolvenbach, Peter-Hans",2003,The Intellectual Dimension of Jesuit Ministries,Forum philosophicum: International Journal for Philosophy,,8,5–12,,,1426-1898,10.5840/forphil200381,,https://www.pdcnet.org/forphil/content/forphil_2003_0008_0005_0012,,21st century,Identity -- Ministries|Identity -- Intellectual|Spirituality,,"Kolvenbach, Peter-Hans, 1928–2016","Presents the text of remarks given by Peter-Hans Kolvenbach, superior general of the Society of Jesus held on May 20, 2002, which deals with the nature and mission of Jesuit ministries in higher educational institutions",,,,,English,KEEP
